project ID,project name,companies of project,role of company,location of company,source,
GS822,"GS790_SUSTAINABLE SMALL HYDROPOWER POA - 1.1 MW MANGGANI MINI HYDROELECTRIC PROJECT, WEST SUMATERA, INDONESIA (300469)",PT. Pelita Prima Nusantar ,Project Proponent,Jakarta Selatan ,https://technik.id,
GS822,"GS790_SUSTAINABLE SMALL HYDROPOWER POA - 1.1 MW MANGGANI MINI HYDROELECTRIC PROJECT, WEST SUMATERA, INDONESIA (300469)",South Pole Carbon Asset Management Ltd ,Project Proponent,Switzerland,https://www.southpole.com/about-us/south-pole-offices,
GS794,GS790_Sustainable Small Hydropower Programme of Activities (PoA) - CPA Manggani Hydroelectric Project Pre-CDM VER,South Pole Carbon Asset Management Ltd ,Project Proponent,Switzerland,https://www.southpole.com/about-us/south-pole-offices,
GS794,GS790_Sustainable Small Hydropower Programme of Activities (PoA) - CPA Manggani Hydroelectric Project Pre-CDM VER,PT. Hydro Program International,Project Proponent,Jakarta,https://cdm.unfccc.int/ProgrammeOfActivities/poa_db/6XP9WZ3HVMJTD0NAOLI8K42FG7QYCS/view,
GS423,Salido Kecil Mini Hydropower Plant,PT. Anggrek Mekar Sari,Implementing Partner,Jakarta,,
GS423,Salido Kecil Mini Hydropower Plant,myclimate – The Climate Protection Partnership,Project Proponent,Switzerland,https://www.myclimate.org/en/get-active/climate-protection-projects/,
GS1374,Recyling Used Cooking Oil into Biodiesel in Bali,Yayasan Lengis Hijau,Implementing Partner,Bali,https://assurance-platform.goldstandard.org/project-documents/GS1374,
GS1374,Recyling Used Cooking Oil into Biodiesel in Bali,myclimate – The Climate Protection Partnership,Project Proponent,Switzerland,https://www.myclimate.org/en/get-active/climate-protection-projects/,
GS1374,Recyling Used Cooking Oil into Biodiesel in Bali,Caritas Switzerland,Project Proponent,Switzerland,https://assurance-platform.goldstandard.org/project-documents/GS1374,
GS1374,Recyling Used Cooking Oil into Biodiesel in Bali,Kuoni Travel Holding Limited,Offsetter,Switzerland,https://assurance-platform.goldstandard.org/project-documents/GS1374,
