project ID,project name,companies of project,role of company,location of company,source,
VCS5962,"Recovery and Avoidance of methane from Industrial wastewater treatment project at Agro Muara Rupit mill, Indonesia",Knowledge Intergration Services (Singapore) Pte. Ltd,Project Proponent,India,https://kisgroup.net/,
VCS5962,"Recovery and Avoidance of methane from Industrial wastewater treatment project at Agro Muara Rupit mill, Indonesia",PT KIS Biofuels Indonesia,Owner,South Jakarta,https://companieshouse.id/kis-biofuels-indonesia,
VCS5962,"Recovery and Avoidance of methane from Industrial wastewater treatment project at Agro Muara Rupit mill, Indonesia",Sipef Group,Director,North Sumatra,https://www.sipef.com/sipef-indonesia/,
VCS4705,KIS BIOFUELS - UKINDO PROJECT,PT KIS Biofuels Indonesia,Project Proponent,South Jakarta,https://companieshouse.id/kis-biofuels-indonesia,
VCS4705,KIS BIOFUELS - UKINDO PROJECT,PT United Kingdom Indonesia Plantations,Mill Owner,North Sumatra,https://www.angloeastern.co.uk/,
VCS5956,AgriCapture Southeast Asia Rice Methane Project,"AgriCapture, Inc. ","Project Proponent, Owner","TN, United States",https://agricapture.com/,
VCS5956,AgriCapture Southeast Asia Rice Methane Project,AgriTC,Implementation Partner,West  Nusa Tenggara,?,
VCS5930,Charged EV Project in Indonesia,PT Charged Tech Indonesia,Project Proponent,Banten,https://charged.asia/,
VCS5930,Charged EV Project in Indonesia,Aquila Climate Technology Holding Pte. Ltd.,Project Representative,Singapore,https://aquila.is/,
VCS5798,KALTIM HUTAMA IFM PROJECT,PT KALTIM HUTAMA,Project Proponent,West Papua,https://www.sinarwijayagroup.com/our-companies/kaltim+hutama,
VCS5798,KALTIM HUTAMA IFM PROJECT,CERPD Co. Ltd.,Technical support,"Seoul, Republic of Korea",https://www.cerpd.com/index_en.php,
VCS5722,JATI DHARMA INDAH PLYWOOD INDUSTRIES IFM PROJECT 1,PT Jati Dharma Indah Plywood Industries,Project Owner,Central Papua,https://sinarwijayagroup.com/our-companies/jati+dharma+indah+plywood+industries,
VCS5722,JATI DHARMA INDAH PLYWOOD INDUSTRIES IFM PROJECT 1,CERPD Co. Ltd.,Project Developer,"Seoul, Republic of Korea",https://www.cerpd.com/index_en.php,
VCS5620,Carbon Agroforestry in Java Island - Indonesia,Yayasan Gajah Sumatera (YAGASU),Project Proponent ,East Java & North Sumatra,https://yagasu.or.id/contact-us/,
VCS5620,Carbon Agroforestry in Java Island - Indonesia,EVI Green Markets Pte. Ltd.,Project Proponent,Singapore,https://www.sgpbusiness.com/company/Evi-Green-Markets-Pte-Ltd,
VCS5448,"BLUERIZON PROJECT: BLUE CARBON PROJECT ON TIDAL WETLAND OF MANGROVES IN JAVA-1, INDONESIA ",APOLOWNIA SAS,Project Developer,"Paris, France",https://www.apolownia.com/,
VCS5448,"BLUERIZON PROJECT: BLUE CARBON PROJECT ON TIDAL WETLAND OF MANGROVES IN JAVA-1, INDONESIA ",Yayasan Gajah Sumatera (YAGASU),Project Implementation,East Java & North Sumatra,https://yagasu.or.id/contact-us/,
VCS5545,YAKOPI Mangrove Restoration Project,Yayasan Konservasi Pesisir Indonesia (YAKOPI),Project Implementer,North Sumatra,https://www.yakopi.org/,
VCS5545,YAKOPI Mangrove Restoration Project,ClimeCo,Project Funder; Project Developer,"PA, United States",https://shop.climeco.com/offset/ecocommitted-partner-program/?gad_source=1&gad_campaignid=22368715831&gbraid=0AAAAAC3ZCyQ0uFubOO463khy4cT88xOCz&gclid=CjwKCAjwnZfPBhAGEiwAzg-VzLQn97ieHDB3GMha-99ZtKW4QMaTreWmOxUPqlpjyErFjDWfA2azcxoCzTUQAvD_BwE,
VCS5545,YAKOPI Mangrove Restoration Project,THE PURE PROJECT SAS,"Project Proponent, Project Developer, Project advisor","Paris, France",https://pur.co/,
VCS5458,Sanggala Corridor Project,PT CarbonX Bumi Harmoni,Project Proponent,Jakarta,https://www.carbonxco.com/contact-us,
VCS5458,Sanggala Corridor Project,PT Citra Mulia Inti,Project Proponent,West Kalimantan,?,
VCS5458,Sanggala Corridor Project,Ecosecurities Group Limited (EGL),Carbon Technical Services,"Carouge, Switzerland",https://ecosecurities.com/,
VCS5371,Kubu Peatland Project,PT. Menggala Rambu Utama,Project Proponent,Banten,https://registry.verra.org/app/projectDetail/VCS/5371,
VCS5371,Kubu Peatland Project,PT Hatfield Indonesia,Technical support on PD Development,West Java,https://hatfieldgroup.com/region/indonesia/,
VCS5371,Kubu Peatland Project,Bentang Kalimantan Tangguh,"Technical support on Community and Local Stakeholder Engagement,Social Baseline Study and Preliminary Stakeholder Engagement",West Kalimantan,https://bentangkalimantan.org/,
VCS5371,Kubu Peatland Project,Form International B.V.,Technical support on PD Development,"Hattem, The Netherlands",https://www.houtwereld.nl/handel/certificeringen-en-keurmerken/form-international-failliet-kans-op-doorstart-gering/ ,
VCS5323,Biogas Project PT Rohul Sawit Industri,PT Rohul Sawit Industri,Project Proponent,North Sumatra & Jakarta,https://repository.uir.ac.id/3334/7/bab4.pdf,
VCS5323,Biogas Project PT Rohul Sawit Industri,PT Pasadena Biofuel Mandiri,Biogas Operator,Jakarta,https://www.linkedin.com/company/pt-pasadena-biofuels-mandiri/?originalSubdomain=id,
VCS5323,Biogas Project PT Rohul Sawit Industri,PT. Gree Services Indonesia,Project Consultant,Jakarta,https://gree-energy.com/contact/,
VCS5292,Monsoon Methane Avoidance from Industrial Wastewater in Indonesia Grouped Project,Monsoon Carbon Pte. Ltd.,Project Proponent,Singapore,www.monsooncarbon.com ,
VCS5292,Monsoon Methane Avoidance from Industrial Wastewater in Indonesia Grouped Project,PT Intan Sejati Andalan,Plant Operator,North Sumatra,https://www.facebook.com/pages/PT.%20Intan%20Sejati%20Andalan/611684005944759/#,
VCS4792,"RECOVERY AND AVOIDANCE OF METHANE FROM INDUSTRIAL WASTEWATER TREATMENT PROJECT AT TSE GROUP, INDONESIA ",Knowledge Integration Services (Singapore) PTE. Ltd.,Project Proponent,Indonesia/ India,https://kisgroup.net/,
VCS4792,"RECOVERY AND AVOIDANCE OF METHANE FROM INDUSTRIAL WASTEWATER TREATMENT PROJECT AT TSE GROUP, INDONESIA ",PT. Berkat Cipta Abadi (PT. BCA),Mill Owner,Jakarta & South Papua,https://www.volza.com/company-profile/pt-berkat-cipta-abadi-514929/ ,
VCS4611,Halmahera Zero-Waste Renewable Energy and Biochar Project,PT Dewa Agricoco Indonesia,Project Proponent,North Maluku,https://www.dewacoco.com/ ,
VCS4611,Halmahera Zero-Waste Renewable Energy and Biochar Project,ClimatePartner Impact GmbH,Project Developer; Project Proponent,"Munich, Germany",https://climatepartnerimpact.com/contact-us/ ,
VCS4467,TSH GROUPED BIOGAS RECOVERY PROJECT,TSH Resources Berhad,Project Proponent,"Kuala Lumpur, Malaysia",https://www.tsh.com.my/ ,
VCS4467,TSH GROUPED BIOGAS RECOVERY PROJECT,PT Sarana Prima Multi Niaga,Mill Head,Central Kalimantan,,
VCS4467,TSH GROUPED BIOGAS RECOVERY PROJECT,PT Andalas Agro Industry,Mill Head,West Sumatra,https://rspo.org/wp-content/uploads/RSPO-Public-Announcement-Template-ENG-PT-Andalas-Agro-Industri.pdf ,
VCS4467,TSH GROUPED BIOGAS RECOVERY PROJECT,PT Farinda Bersaudara ,Mill Head,East Kalimantan,,
VCS4467,TSH GROUPED BIOGAS RECOVERY PROJECT,PT Andalas Wahana Berjaya ,Mill Head,West Sumatra,,
VCS4103,Water Purification System for Safe Drinking Water (SDW) in Indonesia,Synopex Inc.,Project Proponent,"Gyeonggi-do, Republic of Korea",https://www.semi.org/en/resources/member-directory/synopex-inc,
VCS4103,Water Purification System for Safe Drinking Water (SDW) in Indonesia,Project Team ATR Inc.,Implementing Partner,"Busan, Republic of Korea",https://enatr.imweb.me/69,
VCS4103,Water Purification System for Safe Drinking Water (SDW) in Indonesia,Perumda Air Minum Tirta Rangga Subang,Local Purified Water Provider,West Java,https://www.instagram.com/perumdatrs/ ,
VCS3297,Hamparan biogas project,Gree Energy Limited,Project Proponent,Hong Kong,https://gree-energy.com/contact/,
VCS3297,Hamparan biogas project,PT Gree Energy Hamparan ,Project Proponent,Jakarta & Lampung,https://gree-energy.com/project/hamparan/,
VCS3297,Hamparan biogas project,PT Hamparan Bumi Mas Abadi,Mill Owner,Lampung,https://companieshouse.id/hamparan-bumi-mas-abadi,
VCS3226,Padang Tikar Landscape,Ambrawa village,Project Proponent,West Kalimantan,https://registry.verra.org/app/projectDetail/VCS/3226,
VCS3226,Padang Tikar Landscape,Batu Ampar village,Project Proponent,West Kalimantan,https://registry.verra.org/app/projectDetail/VCS/3227,
VCS3226,Padang Tikar Landscape,Medan Mas village,Project Proponent,West Kalimantan,https://registry.verra.org/app/projectDetail/VCS/3228,
VCS3226,Padang Tikar Landscape,Nipah Panjang village,Project Proponent,West Kalimantan,https://registry.verra.org/app/projectDetail/VCS/3229,
VCS3226,Padang Tikar Landscape,Padang Tikar Sahu village,Project Proponent,West Kalimantan,https://registry.verra.org/app/projectDetail/VCS/3230,
VCS3226,Padang Tikar Landscape,Sungai Besar village,Project Proponent,West Kalimantan,https://registry.verra.org/app/projectDetail/VCS/3231,
VCS3226,Padang Tikar Landscape,Sungai Jawi village,Project Proponent,West Kalimantan,https://registry.verra.org/app/projectDetail/VCS/3232,
VCS3226,Padang Tikar Landscape,Tanjung Harapan village,Project Proponent,West Kalimantan,https://registry.verra.org/app/projectDetail/VCS/3233,
VCS3226,Padang Tikar Landscape,Tasik Malaya village,Project Proponent,West Kalimantan,https://registry.verra.org/app/projectDetail/VCS/3234,
VCS3226,Padang Tikar Landscape,Teluk Nibung village,Project Proponent,West Kalimantan,https://registry.verra.org/app/projectDetail/VCS/3235,
VCS3226,Padang Tikar Landscape,Bentang Kalimantan,Technical Advisor,West Kalimantan,https://bentangkalimantan.org/,
VCS3226,Padang Tikar Landscape,South Pole,Project Developer,Jakarta,https://www.southpole.com/about-us/south-pole-offices,
VCS3012,Agroforestry and Reforestation for Carbon Sequestration in Indonesia,THE PURE PROJECT SAS,Project Proponent; Project Developer,"Paris, France",https://pur.co/,
VCS3012,Agroforestry and Reforestation for Carbon Sequestration in Indonesia,Koperasi Gayo Antara,Implementing Partner,Aceh,https://www.reddprojectsdatabase.org/partner/2177-ribang-gayo-musara-rgm/,
VCS3012,Agroforestry and Reforestation for Carbon Sequestration in Indonesia,Leuser Hijau Lestari (LAHIR),Implementing Partner,Aceh,https://www.reddprojectsdatabase.org/partner/2177-ribang-gayo-musara-rgm/,
VCS3012,Agroforestry and Reforestation for Carbon Sequestration in Indonesia,Koalisi Pegiat Lingkungan Pulau Belitung (KPLPB),Implementing Partner,Bangka-Belitung,https://www.reddprojectsdatabase.org/partner/2177-ribang-gayo-musara-rgm/,
VCS3012,Agroforestry and Reforestation for Carbon Sequestration in Indonesia,Jaringan untuk Hutan (JAUH),Implementing Partner,Southeast Sulawesi,https://www.reddprojectsdatabase.org/partner/2177-ribang-gayo-musara-rgm/,
VCS3012,Agroforestry and Reforestation for Carbon Sequestration in Indonesia,Kopepi Ketiara,Implementing Partner,Aceh,https://www.reddprojectsdatabase.org/partner/2177-ribang-gayo-musara-rgm/,
VCS3012,Agroforestry and Reforestation for Carbon Sequestration in Indonesia,Koperasi Kopi Gayo Organik (KKGO),Implementing Partner,Aceh,https://www.reddprojectsdatabase.org/partner/2177-ribang-gayo-musara-rgm/,
VCS3012,Agroforestry and Reforestation for Carbon Sequestration in Indonesia,Yayasan Gajah Sumatera Aceh,Implementing Partner,North Sumatra,https://www.reddprojectsdatabase.org/partner/2177-ribang-gayo-musara-rgm/,
VCS3012,Agroforestry and Reforestation for Carbon Sequestration in Indonesia,SERABBUT,Implementing Partner,Southeast Sulawesi,https://www.reddprojectsdatabase.org/partner/2177-ribang-gayo-musara-rgm/,
VCS3012,Agroforestry and Reforestation for Carbon Sequestration in Indonesia,K.S.U Mahara,Implementing Partner,Aceh,https://www.reddprojectsdatabase.org/partner/2177-ribang-gayo-musara-rgm/,
VCS3012,Agroforestry and Reforestation for Carbon Sequestration in Indonesia,Ribang Gayo Musara (RGM),Implementing Partner,Aceh,https://www.reddprojectsdatabase.org/partner/2177-ribang-gayo-musara-rgm/,
VCS2395,OKI REDD+ Project,PT. Tiara Asia Permai,Business Licensing; On-Site Supervision,Jakarta,https://companieshouse.id/tiara-asia-permai,
VCS2395,OKI REDD+ Project,Japan Asia Group Ltd.,Project Proponent,"Tokyo, Japan",https://www.weforum.org/organizations/japan-asia-group-limited/,
VCS2395,OKI REDD+ Project,"YL Forest Co.,Ltd.",Development and Supervision,"Fukuoka, Japan",https://ylforest.co.jp/en-top/en-information/,
VCS2395,OKI REDD+ Project,Kokusai Kogyo,Technical Advisor,"Tokyo, Japan",https://www.kkc.co.jp/english/,
VCS1778,Lahendong Unit 5 & Unit 6 Geothermal project,PT Pertamina Geothermal Energy,Project Proponent,Jakarta,https://www.pge.pertamina.com/en/our-business ,
VCS1778,Lahendong Unit 5 & Unit 6 Geothermal project,PT Agrinergy Indonesia,Project Proponent,Jakarta/Singapore/UK,http://www.agrinergy.com/ ,
GS1295,KIPRAH Community-Based Integrated Waste Management Project (Indonesia),BORDA (Bremen Overseas Research and Development Association) Indonesia,Project Proponent,Yogyakarta,https://cdm.unfccc.int/UserManagement/FileStorage/3CEHJR07WGKNQY84MOVBPFTX2DZ6I5,
GS1296,KIPRAH Community-Based Integrated Waste Management Project (Indonesia),BEST (Tangerang and Surabya): Bina Ekonomi Sosial Terpadu (Institute for integrated economic and social development),Project Proponent,Tangerang,https://cdm.unfccc.int/UserManagement/FileStorage/3CEHJR07WGKNQY84MOVBPFTX2DZ6I6,
GS1297,KIPRAH Community-Based Integrated Waste Management Project (Indonesia),"LPTP Lembaga PEMBANGUNAN Teknologi Perdesaan (Foundation for the development of
rural tecnologies) ",Project Proponent,Yogayakarta,https://cdm.unfccc.int/UserManagement/FileStorage/3CEHJR07WGKNQY84MOVBPFTX2DZ6I7,
GS1298,KIPRAH Community-Based Integrated Waste Management Project (Indonesia),BALIFOKUS,Project Proponent,Bali,https://cdm.unfccc.int/UserManagement/FileStorage/3CEHJR07WGKNQY84MOVBPFTX2DZ6I8,
GS1299,KIPRAH Community-Based Integrated Waste Management Project (Indonesia),atmosfair gGmbH,Project Proponent,Berlin,https://cdm.unfccc.int/UserManagement/FileStorage/3CEHJR07WGKNQY84MOVBPFTX2DZ6I9,
GS942,"METHANE RECOVERY AND UTILIZATION AT PT. MUSIM MAS PALM OIL MILL IN PANGKALAN LESUNG, RIAU INDONESIA",PT Musim Mas,Project Proponent,Medan,https://cdm.unfccc.int/UserManagement/FileStorage/XF8CZ04RIDNJPK2GWH169O7BQVYETL,
GS942,"METHANE RECOVERY AND UTILIZATION AT PT. MUSIM MAS PALM OIL MILL IN PANGKALAN LESUNG, RIAU INDONESIA",Ministry of Climate and Energy Danish Energy Agency ,Project Proponent,Denmark ,https://cdm.unfccc.int/UserManagement/FileStorage/XF8CZ04RIDNJPK2GWH169O7BQVYETL,
GS11719,BRINE HEAT RECOVERY BINARY POWER PLANT,Star Energy Geothermal Salak Ltd,Project Proponent,Jakarta,https://www.starenergygeothermal.co.id/salak/,
GS23412,RVPA-1 METHANE REDUCTION BY ALTERNATE WETTING AND DRYING (AWD) IN INDONESIA,PT Rize Farm Indonesia,Implementing Partner,Jakarta,https://www.rize.farm/contact,
GS23412,RVPA-1 METHANE REDUCTION BY ALTERNATE WETTING AND DRYING (AWD) IN INDONESIA,Rize PTE LTD Singapore,Project Proponent,Singapore,https://www.rize.farm/contact,
GS23332,GS23331 – VPA 1 – SUSTAINABLE ELECTRIC MOTORBIKE PROJECT BY ESB AND ECOSECURITIES,EcoSecurities Group Limited,Project Proponent,"Switzerland, Geneva",https://ecosecurities.com/about/,
GS23333,GS23331 – VPA 1 – SUSTAINABLE ELECTRIC MOTORBIKE PROJECT BY ESB AND ECOSECURITIES,PT Energi Selalu Baru (ESB),Implementing Partner,Jakarta,https://www.nfcindonesia.id/copy-of-esb,
GS13164,ECOLOGICAL LANDSCAPE RESILIENCE IN SUMATRA´S HIGHLANDS,Livelihoods Carbon Fund SICAV-RAIF,Project Proponent,Luxemburg,https://innpact.com/references/lcf3-livelihoods-carbon-fund/,
GS13164,ECOLOGICAL LANDSCAPE RESILIENCE IN SUMATRA´S HIGHLANDS,Livelihoods Venture ,Project Proponent,Paris,https://livelihoods.eu/press-release-livelihoods-venture-announces-the-appointment-of-its-ceo/,
GS23214,GS23213 VPA-1 IBU BAKAU: COMMUNITY-POWERED MANGROVE AFFORESTATION IN INDONESIA 1,Value Network Ventures Pte Ltd,Project Proponent,Singapore,https://vnv.earth/contactus/,
GS23214,GS23213 VPA-1 IBU BAKAU: COMMUNITY-POWERED MANGROVE AFFORESTATION IN INDONESIA 1,PT VNV Hutan Indonesia (under incorporation) ,Project Proponent,,https://companieshouse.id/vnv-hutan-indonesia,
